Offset-Description                                                                   
0000 - Double            2E65288A180 : 0.000036837183872E6528E08B0 : 0               
0B80 - Float             2E65288AD00 : 4.900000095     2E6528E1430 : 0               
0B84 - 4 Bytes           2E65288AD04 : 305             2E6528E1434 : 0               
0B88 - 4 Bytes           2E65288AD08 : 0               2E6528E1438 : 0               
0B8C - 4 Bytes           2E65288AD0C : 26              2E6528E143C : 0               
0B90 - 4 Bytes           2E65288AD10 : 20              2E6528E1440 : 0               
0B94 - 4 Bytes           2E65288AD14 : 0               2E6528E1444 : 0               
0B98 - 4 Bytes           2E65288AD18 : 296             2E6528E1448 : 0               
0B9C - 4 Bytes           2E65288AD1C : 110             2E6528E144C : 0               
0BA0 - 4 Bytes           2E65288AD20 : 0               2E6528E1450 : 0               
0BA4 - 4 Bytes (Hex)     2E65288AD24 : 02EB00C8        2E6528E1454 : 00000000        
0BA8 - Pointer           2E65288AD28 : P->2E65288E570  2E6528E1458 : P->00000000     
0BB0 - Pointer to instance of allocator_detail::AllocatorManager::AllocatorHolder<ktgl::CExclusiveSafeMemoryAllocator>2E65288AD30 : P->7FF76DE83E40 2E6528E1460 : P->00000000     
0BB8 - Pointer           2E65288AD38 : P->2E65288BA20  2E6528E1468 : P->00000000     
0BC0 - Pointer to instance of allocator_detail::AllocatorManager::AllocatorHolder<ktgl::CExclusiveSafeMemoryAllocator>2E65288AD40 : P->7FF76DE83E40 2E6528E1470 : P->00000000     
0BC8 - 4 Bytes           2E65288AD48 : 1               2E6528E1478 : 0               
0BCC - 4 Bytes           2E65288AD4C : 4294967295      2E6528E147C : 4294967295      
0BD0 - 4 Bytes           2E65288AD50 : 0               2E6528E1480 : 0               
0BD4 - 4 Bytes           2E65288AD54 : 0               2E6528E1484 : 742             
0BD8 - Pointer           2E65288AD58 : P->2E65288F8E0  2E6528E1488 : P->00000000     
0BE0 - Pointer to instance of allocator_detail::AllocatorManager::AllocatorHolder<ktgl::CExclusiveSafeMemoryAllocator>2E65288AD60 : P->7FF76DE83E40 2E6528E1490 : P->00000000     
0BE8 - Pointer           2E65288AD68 : P->2E65288B688  2E6528E1498 : P->2E6528E1DB8  
0BF0 - 4 Bytes           2E65288AD70 : 4294967295      2E6528E14A0 : 4294967295      
0BF4 - 4 Bytes           2E65288AD74 : 4294967295      2E6528E14A4 : 4294967295      
0BF8 - 4 Bytes           2E65288AD78 : 0               2E6528E14A8 : 0               
0BFC - 4 Bytes           2E65288AD7C : 0               2E6528E14AC : 0               
0C00 - Float             2E65288AD80 : 100             2E6528E14B0 : 100             
0C04 - Float             2E65288AD84 : 0.200000003     2E6528E14B4 : 0.200000003     
0C08 - Float             2E65288AD88 : 0.1000000015    2E6528E14B8 : 0.1000000015    
0C0C - Float             2E65288AD8C : 0.1000000015    2E6528E14BC : 0.1000000015    
0C10 - 4 Bytes           2E65288AD90 : 0               2E6528E14C0 : 0               
0C14 - 4 Bytes           2E65288AD94 : 0               2E6528E14C4 : 0               
0C18 - Float             2E65288AD98 : 20              2E6528E14C8 : 0               
0C1C - 4 Bytes           2E65288AD9C : 0               2E6528E14CC : 0               
0C20 - 4 Bytes           2E65288ADA0 : 0               2E6528E14D0 : 0               
0C24 - 4 Bytes           2E65288ADA4 : 0               2E6528E14D4 : 0               
0C28 - Float             2E65288ADA8 : 120             2E6528E14D8 : 120             
0C2C - 4 Bytes (Hex)     2E65288ADAC : 00040119        2E6528E14DC : 00000000        
0C30 - Pointer           2E65288ADB0 : P->2E65288B688  2E6528E14E0 : P->2E6528E1DB8  
0C38 - 4 Bytes           2E65288ADB8 : 5               2E6528E14E8 : 5               
0C3C - Double            2E65288ADBC : 2.000001907348632E6528E14EC : 2.12199579096527E-314
0C44 - Float             2E65288ADC4 : 5               2E6528E14F4 : 1.821688004E-44 
0C48 - 4 Bytes           2E65288ADC8 : 0               2E6528E14F8 : 0               
0C4C - 4 Bytes (Hex)     2E65288ADCC : 0000FFFF        2E6528E14FC : 0000FFFF        
0C50 - 4 Bytes           2E65288ADD0 : 4294967295      2E6528E1500 : 4294967295      
0C54 - 4 Bytes           2E65288ADD4 : 0               2E6528E1504 : 0               
0C58 - 4 Bytes           2E65288ADD8 : 4294967295      2E6528E1508 : 4294967295      
0C5C - 4 Bytes           2E65288ADDC : 4294967295      2E6528E150C : 4294967295      
0C60 - 4 Bytes           2E65288ADE0 : 0               2E6528E1510 : 0               
0C64 - 4 Bytes           2E65288ADE4 : 0               2E6528E1514 : 0               
0C68 - Float             2E65288ADE8 : 100             2E6528E1518 : 100             
0C6C - Float             2E65288ADEC : 0.200000003     2E6528E151C : 0.200000003     
0C70 - Float             2E65288ADF0 : 0.1099999994    2E6528E1520 : 0.1099999994    
0C74 - Float             2E65288ADF4 : 0.1099999994    2E6528E1524 : 0.1099999994    
0C78 - 4 Bytes           2E65288ADF8 : 0               2E6528E1528 : 0               
0C7C - 4 Bytes           2E65288ADFC : 0               2E6528E152C : 0               
0C80 - Float             2E65288AE00 : 30              2E6528E1530 : 0               
0C84 - 4 Bytes           2E65288AE04 : 0               2E6528E1534 : 0               
0C88 - 4 Bytes           2E65288AE08 : 0               2E6528E1538 : 0               
0C8C - 4 Bytes           2E65288AE0C : 0               2E6528E153C : 0               
0C90 - Float             2E65288AE10 : 120             2E6528E1540 : 120             
0C94 - 4 Bytes           2E65288AE14 : 0               2E6528E1544 : 0               
0C98 - Pointer           2E65288AE18 : P->2E65288B688  2E6528E1548 : P->2E6528E1DB8  
0CA0 - 4 Bytes           2E65288AE20 : 6               2E6528E1550 : 6               
0CA4 - Double            2E65288AE24 : 2.000001907348632E6528E1554 : 2.12199579145934E-314
0CAC - 4 Bytes           2E65288AE2C : 0               2E6528E155C : 14              
0CB0 - 4 Bytes           2E65288AE30 : 0               2E6528E1560 : 0               
0CB4 - 4 Bytes (Hex)     2E65288AE34 : 0000FFFF        2E6528E1564 : 0000FFFF        
0CB8 - 4 Bytes           2E65288AE38 : 4294967295      2E6528E1568 : 4294967295      
0CBC - 4 Bytes           2E65288AE3C : 1               2E6528E156C : 1               
0CC0 - 4 Bytes           2E65288AE40 : 4294967295      2E6528E1570 : 4294967295      
0CC4 - 4 Bytes           2E65288AE44 : 4294967295      2E6528E1574 : 4294967295      
0CC8 - 4 Bytes           2E65288AE48 : 0               2E6528E1578 : 0               
0CCC - 4 Bytes           2E65288AE4C : 0               2E6528E157C : 0               
0CD0 - Float             2E65288AE50 : 100             2E6528E1580 : 100             
0CD4 - Float             2E65288AE54 : 0.200000003     2E6528E1584 : 0.200000003     
0CD8 - Float             2E65288AE58 : 0.1000000015    2E6528E1588 : 0.1000000015    
0CDC - Float             2E65288AE5C : 0.1000000015    2E6528E158C : 0.1000000015    
0CE0 - 4 Bytes           2E65288AE60 : 0               2E6528E1590 : 0               
0CE4 - 4 Bytes           2E65288AE64 : 0               2E6528E1594 : 0               
0CE8 - 4 Bytes           2E65288AE68 : 0               2E6528E1598 : 0               
0CEC - 4 Bytes           2E65288AE6C : 0               2E6528E159C : 0               
0CF0 - 4 Bytes           2E65288AE70 : 0               2E6528E15A0 : 0               
0CF4 - 4 Bytes           2E65288AE74 : 0               2E6528E15A4 : 0               
0CF8 - Float             2E65288AE78 : 120             2E6528E15A8 : 120             
0CFC - Float             2E65288AE7C : 1               2E6528E15AC : 0               
0D00 - Pointer           2E65288AE80 : P->2E65288B688  2E6528E15B0 : P->2E6528E1DB8  
0D08 - 4 Bytes           2E65288AE88 : 7               2E6528E15B8 : 7               
0D0C - 4 Bytes           2E65288AE8C : 2               2E6528E15BC : 2               
0D10 - Float             2E65288AE90 : 8.000000954     2E6528E15C0 : 1.401298464E-45 
0D14 - Float             2E65288AE94 : 1               2E6528E15C4 : 2.101947696E-44 
0D18 - 4 Bytes           2E65288AE98 : 0               2E6528E15C8 : 0               
0D1C - 4 Bytes (Hex)     2E65288AE9C : 0000FFFF        2E6528E15CC : 0000FFFF        
0D20 - 4 Bytes           2E65288AEA0 : 4294967295      2E6528E15D0 : 4294967295      
0D24 - 4 Bytes           2E65288AEA4 : 4294967295      2E6528E15D4 : 4294967295      
0D28 - 4 Bytes           2E65288AEA8 : 4294967295      2E6528E15D8 : 4294967295      
0D2C - 4 Bytes           2E65288AEAC : 4294967295      2E6528E15DC : 4294967295      
0D30 - 4 Bytes           2E65288AEB0 : 0               2E6528E15E0 : 0               
0D34 - 4 Bytes           2E65288AEB4 : 0               2E6528E15E4 : 0               
0D38 - Float             2E65288AEB8 : 100             2E6528E15E8 : 100             
0D3C - Float             2E65288AEBC : 0.200000003     2E6528E15EC : 0.200000003     
0D40 - Float             2E65288AEC0 : 0.1000000015    2E6528E15F0 : 0.1000000015    
0D44 - Float             2E65288AEC4 : 0.1000000015    2E6528E15F4 : 0.1000000015    
0D48 - 4 Bytes           2E65288AEC8 : 0               2E6528E15F8 : 0               
0D4C - 4 Bytes           2E65288AECC : 0               2E6528E15FC : 0               
0D50 - 4 Bytes           2E65288AED0 : 6553600         2E6528E1600 : 0               
0D54 - 4 Bytes           2E65288AED4 : 0               2E6528E1604 : 0               
0D58 - 4 Bytes           2E65288AED8 : 0               2E6528E1608 : 0               
0D5C - 4 Bytes           2E65288AEDC : 0               2E6528E160C : 0               
0D60 - Float             2E65288AEE0 : 120             2E6528E1610 : 120             
0D64 - Float             2E65288AEE4 : 24              2E6528E1614 : 0               
0D68 - Pointer           2E65288AEE8 : P->2E65288B688  2E6528E1618 : P->2E6528E1DB8  
0D70 - 4 Bytes           2E65288AEF0 : 8               2E6528E1620 : 8               
0D74 - 4 Bytes           2E65288AEF4 : 3               2E6528E1624 : 3               
0D78 - 4 Bytes           2E65288AEF8 : 1               2E6528E1628 : 1               
0D7C - 4 Bytes           2E65288AEFC : 0               2E6528E162C : 16              
0D80 - 4 Bytes           2E65288AF00 : 0               2E6528E1630 : 0               
0D84 - 4 Bytes (Hex)     2E65288AF04 : 0000FFFF        2E6528E1634 : 0000FFFF        
0D88 - 4 Bytes           2E65288AF08 : 4294967295      2E6528E1638 : 4294967295      
0D8C - 4 Bytes           2E65288AF0C : 2               2E6528E163C : 2               
0D90 - 4 Bytes           2E65288AF10 : 4294967295      2E6528E1640 : 4294967295      
0D94 - 4 Bytes           2E65288AF14 : 4294967295      2E6528E1644 : 4294967295      
0D98 - 4 Bytes           2E65288AF18 : 0               2E6528E1648 : 0               
0D9C - 4 Bytes           2E65288AF1C : 0               2E6528E164C : 0               
0DA0 - Float             2E65288AF20 : 100             2E6528E1650 : 100             
0DA4 - Float             2E65288AF24 : 0.200000003     2E6528E1654 : 0.200000003     
0DA8 - Float             2E65288AF28 : 0.1000000015    2E6528E1658 : 0.1000000015    
0DAC - Float             2E65288AF2C : 0.1000000015    2E6528E165C : 0.1000000015    
0DB0 - 4 Bytes           2E65288AF30 : 0               2E6528E1660 : 0               
0DB4 - 4 Bytes           2E65288AF34 : 0               2E6528E1664 : 0               
0DB8 - 4 Bytes           2E65288AF38 : 0               2E6528E1668 : 0               
0DBC - 4 Bytes           2E65288AF3C : 0               2E6528E166C : 0               
0DC0 - 4 Bytes           2E65288AF40 : 0               2E6528E1670 : 0               
0DC4 - 4 Bytes           2E65288AF44 : 0               2E6528E1674 : 0               
0DC8 - Float             2E65288AF48 : 120             2E6528E1678 : 120             
0DCC - 4 Bytes           2E65288AF4C : 0               2E6528E167C : 0               
0DD0 - Pointer           2E65288AF50 : P->2E65288B688  2E6528E1680 : P->2E6528E1DB8  
0DD8 - 4 Bytes           2E65288AF58 : 9               2E6528E1688 : 9               
0DDC - 4 Bytes           2E65288AF5C : 4               2E6528E168C : 4               
0DE0 - 4 Bytes           2E65288AF60 : 1               2E6528E1690 : 1               
0DE4 - 4 Bytes (Hex)     2E65288AF64 : 01F6005C        2E6528E1694 : 00000011        
0DE8 - 4 Bytes           2E65288AF68 : 0               2E6528E1698 : 0               
0DEC - 4 Bytes (Hex)     2E65288AF6C : 0000FFFF        2E6528E169C : 0000FFFF        
0DF0 - 4 Bytes           2E65288AF70 : 4294967295      2E6528E16A0 : 4294967295      
0DF4 - 4 Bytes           2E65288AF74 : 4294967295      2E6528E16A4 : 4294967295      
0DF8 - 4 Bytes           2E65288AF78 : 4294967295      2E6528E16A8 : 4294967295      
0DFC - 4 Bytes           2E65288AF7C : 4294967295      2E6528E16AC : 4294967295      
0E00 - 4 Bytes           2E65288AF80 : 0               2E6528E16B0 : 0               
0E04 - 4 Bytes           2E65288AF84 : 0               2E6528E16B4 : 0               
0E08 - Float             2E65288AF88 : 100             2E6528E16B8 : 100             
0E0C - Float             2E65288AF8C : 0.200000003     2E6528E16BC : 0.200000003     
0E10 - Byte              2E65288AF90 : 236             2E6528E16C0 : 236             
0E11 - Byte              2E65288AF91 : 81              2E6528E16C1 : 81              
0E12 - Byte              2E65288AF92 : 56              2E6528E16C2 : 56              
0E13 - Byte              2E65288AF93 : 61              2E6528E16C3 : 61              
0E14 - Byte              2E65288AF94 : 236             2E6528E16C4 : 236             
0E15 - Byte              2E65288AF95 : 81              2E6528E16C5 : 81              
0E16 - Byte              2E65288AF96 : 56              2E6528E16C6 : 56              
0E17 - Byte              2E65288AF97 : 61              2E6528E16C7 : 61              
0E18 - 4 Bytes           2E65288AF98 : 0               2E6528E16C8 : 20              
0E1C - 4 Bytes           2E65288AF9C : 0               2E6528E16CC : 0               
0E20 - 4 Bytes           2E65288AFA0 : 0               2E6528E16D0 : 0               
0E24 - 4 Bytes           2E65288AFA4 : 0               2E6528E16D4 : 0               
0E28 - 4 Bytes           2E65288AFA8 : 0               2E6528E16D8 : 0               
0E2C - 4 Bytes           2E65288AFAC : 0               2E6528E16DC : 0               
0E30 - Float             2E65288AFB0 : 120             2E6528E16E0 : 120             
0E34 - Float             2E65288AFB4 : 2               2E6528E16E4 : 0               
0E38 - Pointer           2E65288AFB8 : P->2E65288B688  2E6528E16E8 : P->2E6528E1DB8  
0E40 - 4 Bytes           2E65288AFC0 : 10              2E6528E16F0 : 10              
0E44 - 4 Bytes           2E65288AFC4 : 5               2E6528E16F4 : 5               
0E48 - 4 Bytes           2E65288AFC8 : 0               2E6528E16F8 : 0               
0E4C - 4 Bytes           2E65288AFCC : 0               2E6528E16FC : 18              
0E50 - 4 Bytes           2E65288AFD0 : 0               2E6528E1700 : 0               
0E54 - 4 Bytes (Hex)     2E65288AFD4 : 0000FFFF        2E6528E1704 : 0000FFFF        
0E58 - 4 Bytes           2E65288AFD8 : 4294967295      2E6528E1708 : 4294967295      
0E5C - 4 Bytes           2E65288AFDC : 5               2E6528E170C : 5               
0E60 - 4 Bytes           2E65288AFE0 : 4294967295      2E6528E1710 : 4294967295      
0E64 - 4 Bytes           2E65288AFE4 : 4294967295      2E6528E1714 : 4294967295      
0E68 - 4 Bytes           2E65288AFE8 : 0               2E6528E1718 : 0               
0E6C - 4 Bytes           2E65288AFEC : 0               2E6528E171C : 0               
0E70 - Float             2E65288AFF0 : 100             2E6528E1720 : 100             
0E74 - Double            2E65288AFF4 : 0.000292968760092E6528E1724 : 0.000292968760095391
0E7C - String            2E65288AFFC : 333?            2E6528E172C : 333?
           
0E81 - Byte              2E65288B001 : 0               2E6528E1731 : 0               
0E82 - Byte              2E65288B002 : 0               2E6528E1732 : 0               
0E83 - Byte              2E65288B003 : 0               2E6528E1733 : 0               
0E84 - 4 Bytes           2E65288B004 : 0               2E6528E1734 : 0               
0E88 - 4 Bytes (Hex)     2E65288B008 : FFFF0000        2E6528E1738 : 00000000        
0E8C - 4 Bytes           2E65288B00C : 0               2E6528E173C : 0               
0E90 - 4 Bytes           2E65288B010 : 0               2E6528E1740 : 0               
0E94 - 4 Bytes           2E65288B014 : 0               2E6528E1744 : 0               
0E98 - Float             2E65288B018 : 120             2E6528E1748 : 120             
0E9C - 4 Bytes           2E65288B01C : 0               2E6528E174C : 0               
0EA0 - Pointer           2E65288B020 : P->2E65288B688  2E6528E1750 : P->2E6528E1DB8  
0EA8 - 4 Bytes           2E65288B028 : 11              2E6528E1758 : 11              
0EAC - 4 Bytes           2E65288B02C : 6               2E6528E175C : 6               
0EB0 - 4 Bytes           2E65288B030 : 0               2E6528E1760 : 4278190080      
0EB4 - 4 Bytes           2E65288B034 : 0               2E6528E1764 : 19              
0EB8 - 4 Bytes           2E65288B038 : 0               2E6528E1768 : 0               
0EBC - 4 Bytes (Hex)     2E65288B03C : 0000FFFF        2E6528E176C : 0000FFFF        
0EC0 - 4 Bytes           2E65288B040 : 4294967295      2E6528E1770 : 4294967295      
0EC4 - 4 Bytes           2E65288B044 : 6               2E6528E1774 : 6               
0EC8 - 4 Bytes           2E65288B048 : 4294967295      2E6528E1778 : 4294967295      
0ECC - 4 Bytes           2E65288B04C : 4294967295      2E6528E177C : 4294967295      
0ED0 - 4 Bytes           2E65288B050 : 0               2E6528E1780 : 0               
0ED4 - 4 Bytes           2E65288B054 : 0               2E6528E1784 : 0               
0ED8 - Float             2E65288B058 : 100             2E6528E1788 : 100             
0EDC - Float             2E65288B05C : 0.200000003     2E6528E178C : 0.200000003     
0EE0 - Float             2E65288B060 : 0.0270000007    2E6528E1790 : 0.0270000007    
0EE4 - Float             2E65288B064 : 0.0270000007    2E6528E1794 : 0.0270000007    
0EE8 - 4 Bytes           2E65288B068 : 0               2E6528E1798 : 0               
0EEC - 4 Bytes           2E65288B06C : 0               2E6528E179C : 0               
0EF0 - 4 Bytes           2E65288B070 : 0               2E6528E17A0 : 0               
0EF4 - 4 Bytes           2E65288B074 : 0               2E6528E17A4 : 0               
0EF8 - 4 Bytes           2E65288B078 : 0               2E6528E17A8 : 0               
0EFC - 4 Bytes           2E65288B07C : 0               2E6528E17AC : 0               
0F00 - Pointer           2E65288B080 : P->2E600000000  2E6528E17B0 : P->3F00000000000000
0F08 - Pointer           2E65288B088 : P->2E65288B688  2E6528E17B8 : P->2E6528E1DB8  
0F10 - 4 Bytes           2E65288B090 : 12              2E6528E17C0 : 12              
0F14 - 4 Bytes           2E65288B094 : 7               2E6528E17C4 : 7               
0F18 - 4 Bytes           2E65288B098 : 0               2E6528E17C8 : 1023410176      
0F1C - 4 Bytes           2E65288B09C : 0               2E6528E17CC : 1056964608      
0F20 - 4 Bytes           2E65288B0A0 : 0               2E6528E17D0 : 0               
0F24 - 4 Bytes (Hex)     2E65288B0A4 : 0000FFFF        2E6528E17D4 : 0000FFFF        
0F28 - 4 Bytes           2E65288B0A8 : 4294967295      2E6528E17D8 : 4294967295      
0F2C - 4 Bytes           2E65288B0AC : 4294967295      2E6528E17DC : 4294967295      
0F30 - 4 Bytes           2E65288B0B0 : 4294967295      2E6528E17E0 : 4294967295      
0F34 - 4 Bytes           2E65288B0B4 : 4294967295      2E6528E17E4 : 4294967295      
0F38 - 4 Bytes           2E65288B0B8 : 0               2E6528E17E8 : 0               
0F3C - 4 Bytes           2E65288B0BC : 0               2E6528E17EC : 0               
0F40 - Float             2E65288B0C0 : 100             2E6528E17F0 : 100             
0F44 - Float             2E65288B0C4 : 0.200000003     2E6528E17F4 : 0.200000003     
0F48 - Float             2E65288B0C8 : 0.1000000015    2E6528E17F8 : 0.1000000015    
0F4C - Float             2E65288B0CC : 0.1000000015    2E6528E17FC : 0.1000000015    
0F50 - 4 Bytes           2E65288B0D0 : 0               2E6528E1800 : 0               
0F54 - 4 Bytes           2E65288B0D4 : 0               2E6528E1804 : 0               
0F58 - 4 Bytes           2E65288B0D8 : 0               2E6528E1808 : 1056964608      
0F5C - 4 Bytes           2E65288B0DC : 0               2E6528E180C : 0               
0F60 - 4 Bytes           2E65288B0E0 : 0               2E6528E1810 : 0               
0F64 - 4 Bytes           2E65288B0E4 : 0               2E6528E1814 : 0               
0F68 - Float             2E65288B0E8 : 120             2E6528E1818 : 120             
0F6C - 4 Bytes           2E65288B0EC : 4294967295      2E6528E181C : 1036831949      
0F70 - Pointer           2E65288B0F0 : P->2E65288B688  2E6528E1820 : P->2E6528E1DB8  
0F78 - 4 Bytes           2E65288B0F8 : 13              2E6528E1828 : 13              
0F7C - 4 Bytes           2E65288B0FC : 8               2E6528E182C : 8               
0F80 - 4 Bytes           2E65288B100 : 0               2E6528E1830 : 0               
0F84 - 4 Bytes           2E65288B104 : 0               2E6528E1834 : 1036831949      
0F88 - 4 Bytes           2E65288B108 : 0               2E6528E1838 : 0               
0F8C - 4 Bytes (Hex)     2E65288B10C : 0000FFFF        2E6528E183C : 0000FFFF        
0F90 - 4 Bytes           2E65288B110 : 4294967295      2E6528E1840 : 4294967295      
0F94 - 4 Bytes           2E65288B114 : 19              2E6528E1844 : 19              
0F98 - 4 Bytes           2E65288B118 : 4294967295      2E6528E1848 : 4294967295      
0F9C - 4 Bytes           2E65288B11C : 4294967295      2E6528E184C : 4294967295      
0FA0 - 4 Bytes           2E65288B120 : 0               2E6528E1850 : 0               
0FA4 - 4 Bytes           2E65288B124 : 0               2E6528E1854 : 0               
0FA8 - Float             2E65288B128 : 100             2E6528E1858 : 100             
0FAC - Float             2E65288B12C : 0.1000000015    2E6528E185C : 0.1000000015    
0FB0 - Float             2E65288B130 : 0.1000000015    2E6528E1860 : 0.1000000015    
0FB4 - Float             2E65288B134 : 0.1000000015    2E6528E1864 : 0.1000000015    
0FB8 - 4 Bytes           2E65288B138 : 0               2E6528E1868 : 0               
0FBC - 4 Bytes           2E65288B13C : 0               2E6528E186C : 0               
0FC0 - 4 Bytes (Hex)     2E65288B140 : 00020000        2E6528E1870 : 3DCC0000        
0FC4 - 4 Bytes           2E65288B144 : 0               2E6528E1874 : 0               
0FC8 - 4 Bytes           2E65288B148 : 0               2E6528E1878 : 0               
0FCC - 4 Bytes           2E65288B14C : 0               2E6528E187C : 0               
0FD0 - 4 Bytes           2E65288B150 : 0               2E6528E1880 : 0               
0FD4 - 4 Bytes           2E65288B154 : 0               2E6528E1884 : 0               
0FD8 - Pointer           2E65288B158 : P->2E65288B688  2E6528E1888 : P->2E6528E1DB8  
0FE0 - 4 Bytes           2E65288B160 : 14              2E6528E1890 : 14              
0FE4 - 4 Bytes           2E65288B164 : 9               2E6528E1894 : 9               
0FE8 - 4 Bytes           2E65288B168 : 0               2E6528E1898 : 1056964608      
0FEC - 4 Bytes           2E65288B16C : 0               2E6528E189C : 1065353216      
0FF0 - 4 Bytes           2E65288B170 : 0               2E6528E18A0 : 0               
0FF4 - 4 Bytes (Hex)     2E65288B174 : 0000FFFF        2E6528E18A4 : 0000FFFF        
0FF8 - 4 Bytes           2E65288B178 : 4294967295      2E6528E18A8 : 4294967295      
0FFC - 4 Bytes           2E65288B17C : 4294967295      2E6528E18AC : 4294967295      
